"run","generation","bestFitness","meanFitness","standardDeviationFitness","meanProgramLength","meanEffectiveProgramLength"
"0","0","1.4647087500058888E-4","3.4708241701516684E24","1.0970220508004567E26","20.472","0.568"
"0","1","1.4647087500058888E-4","3.4708241701894926E24","1.0970220508004541E26","20.53","0.619"
"0","2","1.4647087500058888E-4","3.470824170189594E24","1.0970220508004558E26","20.612","0.687"
"0","3","1.4647087500058888E-4","3.470824170189594E24","1.0970220508004574E26","20.681","0.764"
"0","4","1.4647087500058888E-4","1.3470825550529873E25","3.3446253136283655E26","20.745","0.814"
"0","5","1.4647087500058888E-4","1.3470825550530382E25","3.3446253136283765E26","20.811","0.86"
"0","6","1.4647087500058888E-4","1.347082555053048E25","3.344625313628386E26","20.863","0.898"
"0","7","1.4647087500058888E-4","1.3470825550530878E25","3.3446253136283944E26","20.923","0.925"
"0","8","1.4647087500058888E-4","1.347082555053093E25","3.3446253136284026E26","20.992","0.998"
"0","9","1.4647087500058888E-4","1.3470825550531127E25","3.3446253136284095E26","21.059","1.056"
"0","10","1.4647087500058888E-4","1.3470825550531327E25","3.344625313628416E26","21.129","1.076"
"0","11","1.4647087500058888E-4","1.3470825550531402E25","3.3446253136284226E26","21.198","1.16"
"0","12","1.4647087500058888E-4","1.3470825550531602E25","3.3446253136284274E26","21.252","1.193"
"0","13","1.4647087500058888E-4","1.3470825550531834E25","3.344625313628432E26","21.319","1.228"
"0","14","1.4647087500058888E-4","1.347082555053213E25","3.3446253136284356E26","21.392","1.313"
"0","15","1.4647087500058888E-4","1.3470825550532381E25","3.3446253136284404E26","21.461","1.378"
"0","16","1.4647087500058888E-4","1.3470825550532579E25","3.344625313628444E26","21.531","1.463"
"0","17","1.4647087500058888E-4","1.351131140488414E25","3.3446334865747635E26","21.598","1.52"
"0","18","1.4647087500058888E-4","1.3511311404884437E25","3.344633486574764E26","21.664","1.585"
"0","19","1.4647087500058888E-4","1.3511311404884538E25","3.344633486574764E26","21.73","1.603"
"0","20","1.4647087500058888E-4","1.3511311404884736E25","3.344633486574765E26","21.796","1.611"
"0","21","1.4647087500058888E-4","1.3511311404884834E25","3.344633486574765E26","21.856","1.624"
"0","22","1.4647087500058888E-4","1.3511311404884834E25","3.3446334865747656E26","21.908","1.653"
"0","23","1.4647087500058888E-4","1.3511311404885322E25","3.344633486574765E26","21.984","1.729"
"0","24","1.4647087500058888E-4","1.351131140488602E25","3.344633486574764E26","22.046","1.789"
"0","25","1.4647087500058888E-4","1.351131140488602E25","3.344633486574765E26","22.106","1.793"
"0","26","1.4647087500058888E-4","1.3511311404886245E25","3.344633486574765E26","22.171","1.828"
"0","27","1.4647087500058888E-4","1.3511311404889703E25","3.3446334865747615E26","22.239","1.855"
"0","28","1.4647087500058888E-4","1.3511327873039768E25","3.344633479926179E26","22.315","1.861"
"0","29","1.4647087500058888E-4","1.3511327873039867E25","3.344633479926179E26","22.378","1.911"
"0","30","1.4647087500058888E-4","1.3511327873040464E25","3.344633479926178E26","22.448","1.956"
"0","31","1.4647087500058888E-4","1.3511327873040563E25","3.344633479926179E26","22.525","1.98"
"0","32","1.4647087500058888E-4","1.3511327873040898E25","3.344633479926179E26","22.579","2.02"
"0","33","1.4647087500058888E-4","2.3511330623544213E25","4.598864636773902E26","22.642","2.079"
"0","34","1.4647087500058888E-4","2.3511330623544956E25","4.598864636773925E26","22.715","2.121"
"0","35","1.4647087500058888E-4","2.3511330623544986E25","4.598864636773944E26","22.777","2.166"
"0","36","1.4647087500058888E-4","2.3511330623545188E25","4.598864636773962E26","22.836","2.21"
"0","37","1.4647087500058888E-4","2.3511330623545394E25","4.598864636773977E26","22.895","2.236"
"0","38","1.4647087500058888E-4","2.3511330623545634E25","4.598864636773993E26","22.957","2.267"
"0","39","1.4647087500058888E-4","2.3511330623545634E25","4.5988646367740034E26","23.022","2.282"
"0","40","1.4647087500058888E-4","2.3511330623545926E25","4.598864636774014E26","23.088","2.291"
"0","41","1.4647087500058888E-4","2.3511330623546283E25","4.5988646367740226E26","23.14","2.318"
"0","42","1.4647087500058888E-4","3.8476542339698525E26","1.1426658455412937E28","23.196","2.346"
"0","43","1.4647087500058888E-4","3.847654233969854E26","1.1426658455412948E28","23.254","2.366"
"0","44","1.4647087500058888E-4","3.8476542339698545E26","1.1426658455412961E28","23.317","2.408"
"0","45","1.4647087500058888E-4","3.849273667168241E26","1.142665414877396E28","23.379","2.451"
"0","46","1.4647087500058888E-4","4.0485874497796747E36","1.2796354666489135E38","23.452","2.489"
"0","47","1.4647087500058888E-4","4.0485874497796747E36","1.279635466648916E38","23.528","2.519"
"0","48","1.4647087500058888E-4","4.0485874497796747E36","1.2796354666489182E38","23.604","2.551"
"0","49","1.4647087500058888E-4","4.0485874497796747E36","1.27963546664892E38","23.682","2.585"
"0","50","1.4647087500058888E-4","4.0485874497796747E36","1.2796354666489216E38","23.752","2.611"
"0","51","1.4647087500058888E-4","4.0485874497796747E36","1.2796354666489231E38","23.813","2.623"
"0","52","1.4647087500058888E-4","4.0485874497796747E36","1.2796354666489242E38","23.883","2.654"
"0","53","1.4647087500058888E-4","4.0485874497796747E36","1.2796354666489254E38","23.945","2.676"
"0","54","1.4647087500058888E-4","4.0485874497796747E36","1.2796354666489263E38","24.015","2.708"
"0","55","1.4647087500058888E-4","4.0485874497796747E36","1.2796354666489273E38","24.081","2.735"
"0","56","1.4647087500058888E-4","4.0485874497796747E36","1.2796354666489278E38","24.138","2.749"
"0","57","1.4647087500058888E-4","4.0485874497796747E36","1.2796354666489284E38","24.205","2.777"
"0","58","1.4647087500058888E-4","4.0485874497796747E36","1.2796354666489291E38","24.273","2.772"
"0","59","1.4647087500058888E-4","4.0485874497796747E36","1.2796354666489299E38","24.329","2.803"
"0","60","1.4647087500058888E-4","4.0485874497796747E36","1.2796354666489303E38","24.401","2.823"
"0","61","1.4647087500058888E-4","4.048587449789675E36","1.2796354666489254E38","24.464","2.844"
"0","62","1.4647087500058888E-4","4.0485874497897156E36","1.2796354666489257E38","24.515","2.867"
"0","63","1.4647087500058888E-4","4.0485874497897156E36","1.2796354666489261E38","24.584","2.871"
"0","64","1.4647087500058888E-4","4.0485874497897156E36","1.2796354666489261E38","24.65","2.87"
"0","65","1.4647087500058888E-4","4.048587449799716E36","1.2796354666489206E38","24.703","2.867"
"0","66","1.4647087500058888E-4","4.048587449799716E36","1.2796354666489208E38","24.778","2.915"
"0","67","1.4647087500058888E-4","4.048587449799716E36","1.279635466648921E38","24.832","2.912"
"0","68","1.4647087500058888E-4","4.048587449799716E36","1.2796354666489212E38","24.901","2.928"
"0","69","1.4647087500058888E-4","4.048587449799716E36","1.2796354666489212E38","24.966","2.946"
"0","70","1.4647087500058888E-4","4.048587449809716E36","1.2796354666489157E38","25.022","2.976"
"0","71","1.4647087500058888E-4","4.048587449809716E36","1.2796354666489157E38","25.099","3.009"
"0","72","1.4647087500058888E-4","4.048587449809716E36","1.279635466648916E38","25.151","3.047"
"0","73","1.4647087500058888E-4","4.048587449809716E36","1.2796354666489161E38","25.203","3.056"
"0","74","1.4647087500058888E-4","4.048587449809716E36","1.2796354666489161E38","25.257","3.069"
"0","75","1.4647087500058888E-4","4.048587449819716E36","1.2796354666489103E38","25.316","3.11"
"0","76","1.4647087500058888E-4","4.048587449819716E36","1.2796354666489104E38","25.382","3.128"
"0","77","1.45341342527309E-4","4.048587449819716E36","1.2796354666489104E38","25.44","3.12"
"0","78","1.45341342527309E-4","4.048587449819716E36","1.2796354666489104E38","25.499","3.157"
"0","79","1.45341342527309E-4","4.048587449819716E36","1.2796354666489104E38","25.561","3.163"
"0","80","1.45341342527309E-4","4.048587449819716E36","1.2796354666489106E38","25.633","3.191"
"0","81","1.45341342527309E-4","4.048587449819716E36","1.2796354666489108E38","25.685","3.194"
"0","82","1.45341342527309E-4","4.048587449819716E36","1.2796354666489108E38","25.749","3.179"
"0","83","1.45341342527309E-4","4.048587449819716E36","1.2796354666489108E38","25.804","3.203"
"0","84","1.45341342527309E-4","4.048587449819716E36","1.2796354666489108E38","25.862","3.168"
"0","85","1.45341342527309E-4","4.048587449819716E36","1.2796354666489108E38","25.929","3.134"
"0","86","1.45341342527309E-4","4.048587449819716E36","1.2796354666489108E38","25.99","3.156"
"0","87","1.45341342527309E-4","4.048587449819716E36","1.2796354666489108E38","26.048","3.18"
"0","88","1.45341342527309E-4","4.048587449819716E36","1.2796354666489108E38","26.11","3.205"
"0","89","1.45341342527309E-4","4.048587449819716E36","1.2796354666489108E38","26.175","3.232"
"0","90","1.45341342527309E-4","4.048587449819716E36","1.2796354666489108E38","26.23","3.268"
"0","91","1.45341342527309E-4","4.048584690454333E50","1.2796345946318072E52","26.283","3.305"
"0","92","1.45341342527309E-4","4.048584690454333E50","1.2796345946318114E52","26.345","3.35"
"0","93","1.45341342527309E-4","4.048584690454333E50","1.2796345946318154E52","26.406","3.36"
"0","94","1.45341342527309E-4","4.048584690454333E50","1.2796345946318186E52","26.458","3.367"
"0","95","1.45341342527309E-4","4.048584690454333E50","1.2796345946318215E52","26.515","3.366"
"0","96","1.45341342527309E-4","4.048584690454333E50","1.279634594631824E52","26.565","3.363"
"0","97","1.45341342527309E-4","4.048584690454333E50","1.2796345946318263E52","26.609","3.367"
"0","98","1.45341342527309E-4","4.048584690454333E50","1.2796345946318287E52","26.652","3.392"
"0","99","1.45341342527309E-4","4.048584690454333E50","1.27963459463183E52","26.714","3.436"
"0","100","1.45341342527309E-4","4.048584690454333E50","1.2796345946318316E52","26.778","3.45"
"0","101","1.45341342527309E-4","4.048584690454333E50","1.279634594631833E52","26.847","3.441"
"0","102","1.45341342527309E-4","4.048584690454333E50","1.279634594631834E52","26.903","3.422"
"0","103","1.45341342527309E-4","4.048584690454333E50","1.2796345946318353E52","26.97","3.445"
"0","104","1.45341342527309E-4","4.048584690454333E50","1.2796345946318364E52","27.045","3.475"
"0","105","1.45341342527309E-4","4.048584690454333E50","1.2796345946318372E52","27.099","3.447"
"0","106","1.45341342527309E-4","4.048584690454333E50","1.2796345946318383E52","27.176","3.468"
"0","107","1.45341342527309E-4","4.048584690454333E50","1.2796345946318388E52","27.248","3.438"
"0","108","1.45341342527309E-4","4.048584690454333E50","1.2796345946318393E52","27.315","3.451"
"0","109","1.45341342527309E-4","4.048584690454333E50","1.2796345946318399E52","27.372","3.473"
"0","110","1.45341342527309E-4","4.048584690454333E50","1.2796345946318404E52","27.428","3.499"
"0","111","1.45341342527309E-4","4.048584690454333E50","1.2796345946318415E52","27.473","3.504"
"0","112","1.45341342527309E-4","4.048584690454333E50","1.2796345946318415E52","27.538","3.512"
"0","113","1.45341342527309E-4","4.048584690454333E50","1.2796345946318417E52","27.586","3.508"
"0","114","1.45341342527309E-4","4.048584690454333E50","1.2796345946318423E52","27.643","3.504"
"0","115","1.45341342527309E-4","4.048584690454333E50","1.2796345946318425E52","27.693","3.493"
"0","116","1.45341342527309E-4","4.048584690454333E50","1.2796345946318428E52","27.762","3.492"
"0","117","1.45341342527309E-4","4.048584690454333E50","1.279634594631843E52","27.818","3.49"
"0","118","1.45341342527309E-4","4.048584690454333E50","1.2796345946318436E52","27.888","3.508"
"0","119","1.45341342527309E-4","4.048584690454333E50","1.2796345946318438E52","27.948","3.495"
"0","120","1.45341342527309E-4","4.048584690454333E50","1.279634594631844E52","28.005","3.506"
"0","121","1.45341342527309E-4","4.048584690454333E50","1.2796345946318444E52","28.071","3.513"
"0","122","1.45341342527309E-4","4.048584690454333E50","1.2796345946318444E52","28.129","3.519"
"0","123","1.45341342527309E-4","4.048584690454333E50","1.2796345946318446E52","28.194","3.542"
