"run","generation","bestFitness","meanFitness","standardDeviationFitness","meanProgramLength","meanEffectiveProgramLength"
"0","0","0.21474490876942767","8.284289590151684E26","2.6184122013059813E28","19.785","1.041"
"0","1","0.21474490876942767","8.284289590151684E26","2.618412201305978E28","19.838","1.025"
"0","2","0.21474490876942767","8.284289590151684E26","2.618412201305975E28","19.895","1.009"
"0","3","0.21474490876942767","8.284289590151684E26","2.6184122013059725E28","19.945","0.972"
"0","4","0.21474490876942767","8.284289590151684E26","2.61841220130597E28","20.006","0.971"
"0","5","0.21474490876942767","8.284289590151684E26","2.618412201305968E28","20.064","0.958"
"0","6","0.21474490876942767","8.284289590151684E26","2.618412201305966E28","20.128","0.963"
"0","7","0.21474490876942767","8.284289590151684E26","2.618412201305964E28","20.179","0.967"
"0","8","0.21474490876942767","8.284289590151686E26","2.618412201305963E28","20.238","0.97"
"0","9","0.21474490876942767","8.284289590151687E26","2.618412201305962E28","20.281","0.954"
"0","10","0.21474490876942767","8.284289590151687E26","2.618412201305961E28","20.316","0.95"
"0","11","0.21474490876942767","8.284289590151687E26","2.6184122013059597E28","20.379","0.945"
"0","12","0.21474490876942767","8.284289590151687E26","2.6184122013059584E28","20.44","0.968"
"0","13","0.21474490876942767","8.284289590151687E26","2.6184122013059575E28","20.507","0.982"
"0","14","0.21474490876942767","8.284289590151687E26","2.618412201305957E28","20.587","0.986"
"0","15","0.21474490876942767","8.284289590151687E26","2.6184122013059562E28","20.635","0.979"
"0","16","0.21474490876942767","8.284289590151687E26","2.6184122013059554E28","20.701","0.983"
"0","17","0.21474490876942767","8.284289590151687E26","2.6184122013059545E28","20.751","0.979"
"0","18","0.21474490876942767","8.284289590151687E26","2.618412201305954E28","20.814","0.987"
"0","19","0.21474490876942767","8.284289590151688E26","2.6184122013059536E28","20.872","0.982"
"0","20","0.06413632145470537","8.284289590151688E26","2.618412201305953E28","20.922","0.996"
"0","21","0.06413632145470537","8.28428959015169E26","2.6184122013059527E28","20.986","0.96"
"0","22","0.06413632145470537","8.284289590151691E26","2.6184122013059527E28","21.05","0.972"
"0","23","0.06413632145470537","8.284289590151691E26","2.6184122013059523E28","21.098","0.975"
"0","24","0.06413632145470537","8.284289590151693E26","2.618412201305952E28","21.169","0.968"
"0","25","0.06413632145470537","8.284289590151695E26","2.618412201305952E28","21.245","0.982"
"0","26","0.06413632145470537","8.284289590151695E26","2.6184122013059514E28","21.315","0.976"
"0","27","0.06413632145470537","8.284289590151695E26","2.6184122013059514E28","21.368","0.997"
"0","28","0.06413632145470537","8.284289590151695E26","2.6184122013059514E28","21.432","1.018"
"0","29","0.06413632145470537","8.284289590151697E26","2.618412201305951E28","21.493","1.024"
"0","30","0.06413632145470537","8.284289590151697E26","2.618412201305951E28","21.541","1.014"
"0","31","0.06413632145470537","8.284289590151697E26","2.618412201305951E28","21.601","1.007"
"0","32","0.06413632145470537","8.284289590151697E26","2.6184122013059505E28","21.663","1.0"
"0","33","0.06413632145470537","8.284289590151697E26","2.6184122013059505E28","21.722","0.999"
"0","34","0.06413632145470537","8.284289590151697E26","2.6184122013059505E28","21.78","1.002"
"0","35","0.06413632145470537","8.284289590151702E26","2.61841220130595E28","21.84","0.997"
"0","36","0.06413632145470537","8.284289590151702E26","2.61841220130595E28","21.903","1.0"
"0","37","0.06413632145470537","8.284289590151702E26","2.61841220130595E28","21.956","1.006"
"0","38","0.06413632145470537","8.284289590151704E26","2.61841220130595E28","22.008","0.997"
"0","39","0.06413632145470537","8.284289590151705E26","2.61841220130595E28","22.067","1.008"
"0","40","0.06413632145470537","8.284289590151708E26","2.61841220130595E28","22.127","1.015"
"0","41","0.06413632145470537","8.284289590151708E26","2.61841220130595E28","22.182","1.018"
"0","42","0.06413632145470537","8.28428959015171E26","2.61841220130595E28","22.26","1.027"
"0","43","0.06413632145470537","8.28428959015171E26","2.61841220130595E28","22.323","1.028"
