"run","generation","bestFitness","meanFitness","standardDeviationFitness","meanProgramLength","meanEffectiveProgramLength"
"0","10","0.23504303482973352","6.4546447953280014E38","3.1998986505949788E40","60.966","3.40125"
"0","20","0.23504303482973352","2.461542892311177E53","1.55662180536382E55","61.85575","4.2805"
"0","30","0.23504303482973352","7.260180145940946E27","3.184385285631984E29","62.73125","5.06275"
"0","40","0.23504303482973352","1.00000060000063E53","6.323768495767112E54","63.62875","5.64325"
"0","50","0.23504303482973352","4.2876940328129784E26","9.353265952195656E27","64.5415","6.15725"
"0","60","0.23504303482973352","3.3284021456920975E36","2.1048031996775504E38","65.40175","6.6605"
"0","70","0.23504303482973352","2.500004000014819E38","1.5809437048839936E40","66.321","7.15325"
"0","80","0.23504303482973352","5.621929036812517E28","3.5269683404277485E30","67.1815","7.5465"
"0","90","0.23504303482973352","3.5406300795848564E26","4.1105627584705444E27","68.056","7.78525"
"0","100","0.23504303482973352","5.1149655523689555E26","1.2240248015227124E28","68.939","8.09375"
"0","110","0.23504303482973352","9.61539230769539E50","6.080547846652372E52","69.8125","8.2445"
"0","120","0.23504303482973352","8.006168255194392E26","1.5868049526421224E28","70.6765","8.52125"
"0","130","0.23504303482973352","6.510576148957741E26","9.421291189133598E27","71.52375","8.6725"
"0","140","0.23504303482973352","6.456149788178688E26","7.496621884817173E27","72.412","8.86"
"0","150","0.23504303482973352","9.245567674536329E48","5.846679450244513E50","73.2795","8.954"
"0","160","0.23124100838009548","2.5000016500037466E39","1.4315646996139504E41","74.1735","9.048"
"0","170","0.23124100838009548","2.5000030000100704E38","1.5809430725065835E40","75.0345","9.182"
"0","180","0.23124100838009548","1.8945151905223546E27","4.108806444486491E28","75.87375","9.36"
"0","190","0.23504303482973352","9.61538943163035E36","6.080546022493114E38","76.733","9.514"
"0","200","0.23504303482973352","3.461539357037479E38","1.6739347226642703E40","77.6075","9.5885"
"0","210","0.23504303482973352","8.653849627445521E37","5.472490872988762E39","78.4595","9.56475"
"0","220","0.23504303482973352","5.917162721895345E50","3.7418744753776397E52","79.332","9.5945"
"0","230","0.23504303482973352","5.917162721895345E50","3.741874475377624E52","80.18725","9.67225"
"0","240","0.23504303482973352","3.461541828143363E38","1.6739362149793687E40","81.05325","9.783"
"0","250","0.23504303482973352","4.611664766574632E39","2.422373063351721E41","81.92575","9.90475"
"0","260","0.23504303482973352","1.833884834936989E39","7.490209207855973E40","82.792","9.954"
"0","270","0.23504303482973352","5.0000060016525926E38","2.2355115732227344E40","83.6545","10.0085"
"0","280","0.23504303482973352","2.0802116258245306E28","4.735580593782115E29","84.5175","9.993"
"0","290","0.23504303482973352","6.010330687469898E39","3.794714511415037E41","85.3775","10.16375"
"0","300","0.23504303482973352","1.5235543610608388E29","9.199967176351813E30","86.245","10.2525"
"0","310","0.23504303482973352","2.5963057379099947E52","1.5820973395488667E54","87.1205","10.31075"
"0","320","0.23504303482973352","9.630773790997735E50","6.09027473471211E52","87.98775","10.29725"
"0","330","0.23504303482973352","1.2356344990058211E40","5.891781096311133E41","88.837","10.41675"
"0","340","0.23504303482973352","2.5000020008483725E38","1.5809424401292506E40","89.70825","10.55125"
"0","350","0.23504303482973352","4.6957443431734213E55","2.9694782324653196E57","90.57575","10.5615"
"0","360","0.23504303482973352","4.6957443431734213E55","2.9694782324653342E57","91.4725","10.737"
"0","370","0.23504303482973352","2.2457082126160984E37","1.420133032139493E39","92.3965","10.83425"
"0","380","0.23504303482973352","5.285882504633081E27","5.658823570508554E28","93.24875","10.93175"
"0","390","0.23504303482973352","4.0913379080951016E27","3.9268285030285024E28","94.0905","10.9695"
"0","400","0.23504303482973352","4.0296284460092103E27","3.833367937782508E28","94.97375","10.93775"
"0","410","0.23504303482973352","2.3355381754657818E39","1.4769393872826837E41","95.843","10.9995"
"0","420","0.23504303482973352","3.2305916116043756E28","1.8026262953824547E30","96.6855","11.02875"
"0","430","0.23504303482973352","3.8461569230779985E79","2.4322191386608876E81","97.56325","11.103"
"0","440","0.23504303482973352","4.000002400005507E39","2.5295073983060233E41","98.423","11.24975"
"0","450","0.23504303482973352","4.000002400005054E39","2.5295073983060047E41","99.294","11.368"
"0","460","0.23504303482973352","3.32850829233194E27","1.7046059115736572E28","100.16725","11.45575"
"0","470","0.1746448106022744","1.356199626173491E42","8.576044045002017E43","101.061","11.51925"
"0","480","0.1746448106022744","3.2692310003418872E38","1.6177990088617033E40","101.94175","11.62675"
"0","490","0.1746448106022744","4.80769442374812E37","2.5069256138744014E39","102.785","11.71975"
"0","500","0.1746448106022744","3.637798544884194E54","2.3004582029323945E56","103.65425","11.88475"
"0","510","0.1746448106022744","9.61538461540033E50","6.080542982216271E52","104.4925","12.09725"
"0","520","0.1746448106022744","4.331732389165306E39","2.5347120528483557E41","105.369","12.131"
"0","530","0.1746448106022744","3.3173131564926097E38","1.6317341031930655E40","106.22075","12.2765"
"0","540","0.15514685465164316","2.739460390063535E30","1.1943280191197923E32","107.10425","12.351"
"0","550","0.15514685465164316","1.5700307585262496E30","9.391975102989742E31","107.9495","12.528"
"0","560","0.15514685465164316","5.0961548996801404E38","2.2363146353622245E40","108.81575","12.5715"
"0","570","0.1466711730835604","8.338842534232296E38","5.273287797406426E40","109.6815","12.74425"
"0","580","0.15514685465164316","2.499999999999872E52","1.5809411753760622E54","110.54125","12.78325"
"0","590","0.15514685465164316","9.615396279677578E36","6.0805454131995685E38","111.4255","12.94525"
"0","600","0.1310147705599305","3.0145416764262998E41","1.9029205954635561E43","112.2695","13.13125"
"0","610","0.1310147705599305","2.980769442680101E38","1.6006190601181012E40","113.11975","13.162"
"0","620","0.18367987462420504","4.0000036000036955E53","2.5295081571597124E55","114.01025","13.3105"
"0","630","0.18367987462420504","4.569110536650881E41","2.85304478880409E43","114.8845","13.43275"
"0","640","0.1310147705599305","3.7500010807232117E39","1.572766798076964E41","115.73875","13.6035"
"0","650","0.1310147705599305","2.046523897172296E52","1.0244882422034793E54","116.581","13.84125"
"0","660","0.1310147705599305","2.50000200000112E52","1.5809424401295816E54","117.42025","13.893"
"0","670","0.1310147705599305","7.07427182452162E39","2.9286367533047552E41","118.28925","13.998"
"0","680","0.1310147705599305","5.112734224523908E39","1.7262380005836923E41","119.123","14.199"
"0","690","0.13019652819614785","3.442014262811551E42","2.173785309285042E44","119.97875","14.531"
"0","700","0.1310147705599305","1.4335955271753144E40","5.9771105370275385E41","120.8265","14.727"
"0","710","0.1310147705599305","2.766554975428127E52","1.5898601320012053E54","121.692","14.906"
"0","720","0.1310147705599305","1.713909543760044E53","9.226430160004967E54","122.5445","14.9555"
"0","730","0.1310147705599305","2.665549754286613E51","1.6856309446189548E53","123.40875","15.1935"
"0","740","0.1310147705599305","4.7885471676849395E39","1.5260451387380064E41","124.2455","15.39375"
"0","750","0.1310147705599305","4.468017847845057E39","1.4895197198848806E41","125.092","15.5095"
"0","760","0.1310147705599305","4.000001600000228E53","2.529506892404228E55","125.9305","15.65475"
"0","770","0.1310147705599305","4.514905228826456E39","1.5732443834731972E41","126.7765","15.77475"
"0","780","0.1310147705599305","2.5000020000077113E52","1.5809424401295278E54","127.6315","15.953"
"0","790","0.1310147705599305","2.5190980537517417E39","7.313708673882851E40","128.47075","16.07"
"0","800","0.1310147705599305","2.499999000000234E52","1.580940542999824E54","129.30325","16.15725"
"0","810","0.1466711730835604","1.8698337412450737E39","4.0097452673167106E40","130.16225","16.443"
"0","820","0.1466711730835604","1.369834441676877E39","3.3584491357032777E40","131.01025","16.678"
"0","830","0.1466711730835604","2.0964142288312696E39","4.741299662531819E40","131.89675","16.83275"
"0","840","0.1466711730835604","1.5861803552889394E39","3.517921777060588E40","132.76375","17.0345"
"0","850","0.1466711730835604","4.1569367648183733E40","2.4435503571632245E42","133.6105","17.22525"
"0","860","0.23504303482973352","4.245585324588921E40","2.4443140550019422E42","134.502","17.37975"
"0","870","0.13462575036531324","3.6896207969517685E39","8.892917269904547E40","135.3915","17.55125"
"0","880","0.13462575036531324","3.051658256050495E55","1.9030829238792668E57","136.24525","17.62125"
"0","890","0.13731519034670328","2.750002250001176E53","1.5887881541495723E55","137.1025","17.57875"
"0","900","0.13731519034670328","2.050241204615532E54","1.2806564670568645E56","137.9715","17.87875"
"0","910","0.13731519034670328","2.403846155420307E50","1.520135745553887E52","138.847","17.9925"
"0","920","0.13731519034670328","3.759844167943564E45","2.3775346174963212E47","139.7155","18.27375"
"0","930","0.13731519034670328","2.019231604911797E53","8.942409489939721E54","140.5815","18.4935"
"0","940","0.14667117308356034","2.000000837604769E53","8.942039139189073E54","141.44425","18.5675"
"0","950","0.13019652819614785","4.062803856562286E54","2.4443507448303648E56","142.327","18.69875"
"0","960","0.13019652819614785","3.759911632047894E45","2.377534607172984E47","143.1765","18.875"
"0","970","0.13019652819614785","1.9392540496136322E43","1.2178760556017193E45","144.084","19.08975"
"0","980","0.13019652819614785","3.6787155414216784E40","7.171706011571409E41","144.93575","19.22875"
"0","990","0.1295449045362517","2.3849735351808667E40","4.804634466187198E41","145.80875","19.29175"
"0","1000","0.1295449045362517","7.114304273889676E40","3.113594296142399E42","146.66375","19.49725"
